utterance|intent|domain|dialogue_id
silence volume on speakers|audio_volume_mute|HWU64|single_sen
turn off media volume|audio_volume_mute|HWU64|single_sen
i need you to be quiet until tomorrow|audio_volume_mute|HWU64|single_sen
go to sleep|audio_volume_mute|HWU64|single_sen
no notifications for five minutes|audio_volume_mute|HWU64|single_sen
turn off the sound|audio_volume_mute|HWU64|single_sen
mute the music|audio_volume_mute|HWU64|single_sen
pause for ten seconds|audio_volume_mute|HWU64|single_sen
set mute for twenty minutes|audio_volume_mute|HWU64|single_sen
i need to mute the speaker|audio_volume_mute|HWU64|single_sen
could you speak a little more softly|audio_volume_up|HWU64|single_sen
turn it up|audio_volume_up|HWU64|single_sen
just increase the volume a little|audio_volume_up|HWU64|single_sen
olly turn the volume up|audio_volume_up|HWU64|single_sen
raise volume to level seven on music player|audio_volume_up|HWU64|single_sen
i want the speakers turned up high|audio_volume_up|HWU64|single_sen
rise volume|audio_volume_up|HWU64|single_sen
please increase the volume of the music hips don't lie|audio_volume_up|HWU64|single_sen
raise the volume of my music player by fifty percent|audio_volume_up|HWU64|single_sen
speak as loud as you can|audio_volume_up|HWU64|single_sen
increase volume please|audio_volume_up|HWU64|single_sen
make this a bit louder|audio_volume_up|HWU64|single_sen
increase volume to fifty percent|audio_volume_up|HWU64|single_sen
when is the school dance junction marked|calendar_query|HWU64|single_sen
what is my schedule for tomorrow|calendar_query|HWU64|single_sen
am i available at five pm on sunday|calendar_query|HWU64|single_sen
do i have any notifications from social media|calendar_query|HWU64|single_sen
what do i have scheduled for next week|calendar_query|HWU64|single_sen
tell me the meetings i have for the week|calendar_query|HWU64|single_sen
do i have any openings on my schedule for tomorrow|calendar_query|HWU64|single_sen
do i need to pick up the kids from anything today|calendar_query|HWU64|single_sen
is there anything i need to be aware of|calendar_query|HWU64|single_sen
do i have any undone tasks|calendar_query|HWU64|single_sen
what is left for today|calendar_query|HWU64|single_sen
list out my upcoming events|calendar_query|HWU64|single_sen
one thousand two hundred and thirty pm already you will have a meeting in ten mins|calendar_query|HWU64|single_sen
is the meeting scheduled for tomorrow|calendar_query|HWU64|single_sen
when the birthday will be|calendar_query|HWU64|single_sen
when is my next appointment and who do i contact to reschedule|calendar_query|HWU64|single_sen
what is the plan for tonight|calendar_query|HWU64|single_sen
what day of the week is my birthday this year|calendar_query|HWU64|single_sen
what is my schedule for june fourteenth two thousand and seventeen|calendar_query|HWU64|single_sen
remove the next event on my calendar|calendar_remove|HWU64|single_sen
format the calendar|calendar_remove|HWU64|single_sen
remove the board meeting and reschedule for next wednesday|calendar_remove|HWU64|single_sen
delete event from mine|calendar_remove|HWU64|single_sen
cancel the event valentine's day from the calendar|calendar_remove|HWU64|single_sen
remove my meeting today at one pm|calendar_remove|HWU64|single_sen
i no longer need to see the doctor can that event be removed|calendar_remove|HWU64|single_sen
please remove march nineteenth's scheduled event|calendar_remove|HWU64|single_sen
make sure there is no events on my calendar|calendar_remove|HWU64|single_sen
remove all the events on my calendar|calendar_remove|HWU64|single_sen
delete my meeting event for march nineteen at one pm|calendar_remove|HWU64|single_sen
remove upcoming task|calendar_remove|HWU64|single_sen
remove emma's birthday from events|calendar_remove|HWU64|single_sen
in my calendar delete all of my golf events for the current month|calendar_remove|HWU64|single_sen
erase calendar events|calendar_remove|HWU64|single_sen
take lunch meeting off my calendar|calendar_remove|HWU64|single_sen
delete all my events for tomorrow|calendar_remove|HWU64|single_sen
delete the party on june first from my calendar|calendar_remove|HWU64|single_sen
can to please clear my calendar of all events|calendar_remove|HWU64|single_sen
set a reminder for tomorrow evening|calendar_set|HWU64|single_sen
notify me when the event is going to take place|calendar_set|HWU64|single_sen
add jim and jerry to event|calendar_set|HWU64|single_sen
make a repeating reminder for my yoga practice every day at noon|calendar_set|HWU64|single_sen
i have a meeting with sean at four pm on wednesday can you remind me|calendar_set|HWU64|single_sen
create an event gym day on monday and set it to repeat|calendar_set|HWU64|single_sen
blot me all the phone calls planned for the morning of twenty three march|calendar_set|HWU64|single_sen
can you remind me about my meeting tomorrow|calendar_set|HWU64|single_sen
repeat reminder for my schedule for christmas|calendar_set|HWU64|single_sen
remind me to call my grandma this sunday|calendar_set|HWU64|single_sen
next week my uncle birthday|calendar_set|HWU64|single_sen
add running to my calendar for thursday|calendar_set|HWU64|single_sen
i would like to attend church every sunday at eleven am|calendar_set|HWU64|single_sen
see if john is available for a meeting on monday|calendar_set|HWU64|single_sen
remind me about the meeting|calendar_set|HWU64|single_sen
set the alarm in my calendar events before five mins|calendar_set|HWU64|single_sen
activate a one week notification before my anniversary please|calendar_set|HWU64|single_sen
could you please schedule a meeting with this person|calendar_set|HWU64|single_sen
i have a meeting with al on march twenty first at ten|calendar_set|HWU64|single_sen
help me make brownies|cooking_recipe|HWU64|single_sen
crabmeat recipe|cooking_recipe|HWU64|single_sen
it should spices|cooking_recipe|HWU64|single_sen
tell how vegetable is cooked|cooking_recipe|HWU64|single_sen
learn to cut potatoes correctly|cooking_recipe|HWU64|single_sen
how to cook that meal|cooking_recipe|HWU64|single_sen
can i get a recipe for tuna|cooking_recipe|HWU64|single_sen
please cook me a hamburger|cooking_recipe|HWU64|single_sen
how to cook yellow rice|cooking_recipe|HWU64|single_sen
i need to know how to make stuffed peppers|cooking_recipe|HWU64|single_sen
how can i cook pasta|cooking_recipe|HWU64|single_sen
look for different recipes|cooking_recipe|HWU64|single_sen
what ingredient can be used instead of saffron|cooking_recipe|HWU64|single_sen
find apple pie recipe|cooking_recipe|HWU64|single_sen
do i have enough ingredients in my refrigerator|cooking_recipe|HWU64|single_sen
search for your favorite meal|cooking_recipe|HWU64|single_sen
tell me the preparation method for chicken sixty five|cooking_recipe|HWU64|single_sen
i would like it to be able to find recipes i have|cooking_recipe|HWU64|single_sen
why do people use avocado seeds|cooking_recipe|HWU64|single_sen
if it's eight pm on the east coast what time is it in sacramento california|datetime_convert|HWU64|single_sen
if it is four pm in missouri what time is it in london|datetime_convert|HWU64|single_sen
can you please change the time zone to us|datetime_convert|HWU64|single_sen
which time zone are we in please change to current|datetime_convert|HWU64|single_sen
please change time zone to canada|datetime_convert|HWU64|single_sen
what time will it be locally at nine am bangalore india time|datetime_convert|HWU64|single_sen
it is ten am in eastern standard time what time it is now it pacific standard time|datetime_convert|HWU64|single_sen
change mountain standard to pacific|datetime_convert|HWU64|single_sen
please tell me the date|datetime_query|HWU64|single_sen
date today|datetime_query|HWU64|single_sen
what is today|datetime_query|HWU64|single_sen
what is the time in geneva|datetime_query|HWU64|single_sen
let me know the time|datetime_query|HWU64|single_sen
new york time please|datetime_query|HWU64|single_sen
what is the time difference between here and dakar|datetime_query|HWU64|single_sen
let me know the time in india|datetime_query|HWU64|single_sen
tell me the time in this time zone|datetime_query|HWU64|single_sen
which date is on next monday|datetime_query|HWU64|single_sen
tell me what time it is in dallas texas|datetime_query|HWU64|single_sen
what time is it in the other time zones|datetime_query|HWU64|single_sen
hey what's the current time in austin|datetime_query|HWU64|single_sen
hey what is the time|datetime_query|HWU64|single_sen
could you tell me what time it is|datetime_query|HWU64|single_sen
what day of the week does the next holiday fall on|datetime_query|HWU64|single_sen
august fifteenth is what day of the week|datetime_query|HWU64|single_sen
can you tell me the date today|datetime_query|HWU64|single_sen
hey what's today's date|datetime_query|HWU64|single_sen
add dan's email|email_addcontact|HWU64|single_sen
add contacts n mail|email_addcontact|HWU64|single_sen
enter atdfd@yahoo dot com into my contact list|email_addcontact|HWU64|single_sen
get apahelp@yahoo dot com in my contacts|email_addcontact|HWU64|single_sen
save the email to my contact|email_addcontact|HWU64|single_sen
please add johndoe@yahoocom to my contact list|email_addcontact|HWU64|single_sen
add this new email|email_addcontact|HWU64|single_sen
add work email address|email_addcontact|HWU64|single_sen
are there any new emails from name|email_query|HWU64|single_sen
give me recent emails|email_query|HWU64|single_sen
refresh email|email_query|HWU64|single_sen
i need to know all of the emails from contact pertaining to subject|email_query|HWU64|single_sen
open email|email_query|HWU64|single_sen
who has sent me an email in the past week|email_query|HWU64|single_sen
check emails for unread emails from mom|email_query|HWU64|single_sen
did any emails come for me in the last five hours|email_query|HWU64|single_sen
report what is new in my email inbox please|email_query|HWU64|single_sen
what is the subject and who is the sender of my last email|email_query|HWU64|single_sen
what did i tell susan in my last email|email_query|HWU64|single_sen
show me all the emails received recently|email_query|HWU64|single_sen
do i have any emails from jessica|email_query|HWU64|single_sen
are there any recent unread emails|email_query|HWU64|single_sen
do i have any new email from ryan|email_query|HWU64|single_sen
carlos linux upgrade email|email_query|HWU64|single_sen
my mail|email_query|HWU64|single_sen
have i gotten any mail recently|email_query|HWU64|single_sen
check emails|email_query|HWU64|single_sen
what is sarah's number|email_querycontact|HWU64|single_sen
can you give me details on john|email_querycontact|HWU64|single_sen
have you responded my phone calls|email_querycontact|HWU64|single_sen
what is jeff's number|email_querycontact|HWU64|single_sen
how many contacts are there named john|email_querycontact|HWU64|single_sen
tell me the contact details of my brother|email_querycontact|HWU64|single_sen
show mobile number of john|email_querycontact|HWU64|single_sen
does contact mona has an email as well|email_querycontact|HWU64|single_sen
show number and contact email of rehan|email_querycontact|HWU64|single_sen
look up for the residential address of my team leader|email_querycontact|HWU64|single_sen
what is my wife's email|email_querycontact|HWU64|single_sen
select the contact|email_querycontact|HWU64|single_sen
is this my sisters cellphone number|email_querycontact|HWU64|single_sen
how old is mary s.|email_querycontact|HWU64|single_sen
did mom text me|email_querycontact|HWU64|single_sen
please let me know where david is travelling|email_querycontact|HWU64|single_sen
is hayden still living on turnpike lane|email_querycontact|HWU64|single_sen
add rebecca green to my list of favorite contacts|email_querycontact|HWU64|single_sen
what is jill's home phone number|email_querycontact|HWU64|single_sen
send a mail to whom to talk|email_sendemail|HWU64|single_sen
pull up kate's email and write that i will let her know|email_sendemail|HWU64|single_sen
please reply to my boss most recent email and say that the ppt will be ready in one hour maximum|email_sendemail|HWU64|single_sen
reply the email of charles with just thank you right now|email_sendemail|HWU64|single_sen
send new email to jana dot litt at gmail dot com|email_sendemail|HWU64|single_sen
hey please reply to last pawel's email|email_sendemail|HWU64|single_sen
send email to new email address|email_sendemail|HWU64|single_sen
send an email to my friend say birthday wishes|email_sendemail|HWU64|single_sen
send email to mom starting with the subject vacation|email_sendemail|HWU64|single_sen
jj.nzt@yahoo dot com|email_sendemail|HWU64|single_sen
email happy new year to john|email_sendemail|HWU64|single_sen
tell to joe's email that come to my house in this moment i am alone|email_sendemail|HWU64|single_sen
go to email and send message to|email_sendemail|HWU64|single_sen
email john smith|email_sendemail|HWU64|single_sen
start a new email to george brown|email_sendemail|HWU64|single_sen
send a replay email|email_sendemail|HWU64|single_sen
send reply to joe|email_sendemail|HWU64|single_sen
email tom the date and time of tomorrow's meeting|email_sendemail|HWU64|single_sen
add mail id subject content|email_sendemail|HWU64|single_sen
fantastic response.|general_affirm|HWU64|single_sen
yeap you've gotten my instructions perfectly.|general_affirm|HWU64|single_sen
yeah wonderful response.|general_affirm|HWU64|single_sen
yeah exact response to the command.|general_affirm|HWU64|single_sen
yeah perfect response to command.|general_affirm|HWU64|single_sen
yeah excellent.|general_affirm|HWU64|single_sen
yeah exactly.|general_affirm|HWU64|single_sen
perfect response to command.|general_affirm|HWU64|single_sen
yes you have got my instructions perfectly.|general_affirm|HWU64|single_sen
yeah you understood command correcly.|general_affirm|HWU64|single_sen
yeah wonderful response to command.|general_affirm|HWU64|single_sen
strongly agree.|general_affirm|HWU64|single_sen
yeap it is confirmed.|general_affirm|HWU64|single_sen
you got the command right.|general_affirm|HWU64|single_sen
yeah strongly agree.|general_affirm|HWU64|single_sen
yeah fantastic.|general_affirm|HWU64|single_sen
yes you've understood my instructions exactly.|general_affirm|HWU64|single_sen
yeap your understanding was confirmed.|general_affirm|HWU64|single_sen
yeah that is correct.|general_affirm|HWU64|single_sen
i would like you just stop it.|general_commandstop|HWU64|single_sen
will you please shut down.|general_commandstop|HWU64|single_sen
olly that's enough, just stop it.|general_commandstop|HWU64|single_sen
olly can you stop it.|general_commandstop|HWU64|single_sen
olly please would you stop.|general_commandstop|HWU64|single_sen
please shut up.|general_commandstop|HWU64|single_sen
i like you cancel.|general_commandstop|HWU64|single_sen
will you just stop it please.|general_commandstop|HWU64|single_sen
would you cancel it please.|general_commandstop|HWU64|single_sen
olly can you shut down.|general_commandstop|HWU64|single_sen
olly that is enough, just stop it.|general_commandstop|HWU64|single_sen
olly will you cancel please.|general_commandstop|HWU64|single_sen
will you stop.|general_commandstop|HWU64|single_sen
that's all, cancel it.|general_commandstop|HWU64|single_sen
olly shut down please.|general_commandstop|HWU64|single_sen
olly can you just stop.|general_commandstop|HWU64|single_sen
will you cancel it.|general_commandstop|HWU64|single_sen
olly please can you shut up.|general_commandstop|HWU64|single_sen
olly i want you cancel.|general_commandstop|HWU64|single_sen
would you confirm the question.|general_confirm|HWU64|single_sen
could you check my last question.|general_confirm|HWU64|single_sen
will you check and confirm command please.|general_confirm|HWU64|single_sen
please will you check it.|general_confirm|HWU64|single_sen
could you check and confirm what i last said please.|general_confirm|HWU64|single_sen
will you please check it.|general_confirm|HWU64|single_sen
please can you confirm the question.|general_confirm|HWU64|single_sen
check the details please.|general_confirm|HWU64|single_sen
can you confirm it.|general_confirm|HWU64|single_sen
please can you confirm it.|general_confirm|HWU64|single_sen
can you check and confirm the question please.|general_confirm|HWU64|single_sen
i like you check question please.|general_confirm|HWU64|single_sen
did you get what just said correctly?|general_confirm|HWU64|single_sen
did you get what said correctly?|general_confirm|HWU64|single_sen
i like you to check and confirm what i said please.|general_confirm|HWU64|single_sen
would you please confirm the instruction.|general_confirm|HWU64|single_sen
check and confirm my last question please.|general_confirm|HWU64|single_sen
will you check and confirm the instruction please.|general_confirm|HWU64|single_sen
can you check last thing said please.|general_confirm|HWU64|single_sen
i would not mind, olly.|general_dontcare|HWU64|single_sen
wouldn't mind for any one.|general_dontcare|HWU64|single_sen
does not matter for me, olly.|general_dontcare|HWU64|single_sen
don't really bother, olly.|general_dontcare|HWU64|single_sen
wouldn't really know, olly.|general_dontcare|HWU64|single_sen
i have no idea about what to do, olly.|general_dontcare|HWU64|single_sen
i do not mind for whatever.|general_dontcare|HWU64|single_sen
any one is good, olly.|general_dontcare|HWU64|single_sen
it does not matter to me, olly.|general_dontcare|HWU64|single_sen
i would not mind to select any one.|general_dontcare|HWU64|single_sen
i do not really mind for whatever.|general_dontcare|HWU64|single_sen
this is unimportant for me.|general_dontcare|HWU64|single_sen
i would not mind to select any one, olly.|general_dontcare|HWU64|single_sen
does not matter for me.|general_dontcare|HWU64|single_sen
any one is good to me.|general_dontcare|HWU64|single_sen
this is unimportant, olly.|general_dontcare|HWU64|single_sen
wouldn't really mind for whatever.|general_dontcare|HWU64|single_sen
have no idea regarding to what to select, olly.|general_dontcare|HWU64|single_sen
does not matter, olly.|general_dontcare|HWU64|single_sen
would you clarify me on your answer further please.|general_explain|HWU64|single_sen
s2, i can not understand that.|general_explain|HWU64|single_sen
your words is not so clear.|general_explain|HWU64|single_sen
s1, explain further please.|general_explain|HWU64|single_sen
s2, i am unclear about what you have just said.|general_explain|HWU64|single_sen
please will you clarify me more on that.|general_explain|HWU64|single_sen
will you rephrase me about your response once again please.|general_explain|HWU64|single_sen
again clarify me on your answers.|general_explain|HWU64|single_sen
again elaborate.|general_explain|HWU64|single_sen
couldn't understand what you just said now.|general_explain|HWU64|single_sen
can you again clarify what you've said please.|general_explain|HWU64|single_sen
i didn't get your response.|general_explain|HWU64|single_sen
s1, could you please again rephrase me about what you said now.|general_explain|HWU64|single_sen
what you said now was not clear.|general_explain|HWU64|single_sen
can you explain once again.|general_explain|HWU64|single_sen
do not get this.|general_explain|HWU64|single_sen
s1, explain me on your answer further please.|general_explain|HWU64|single_sen
s2, i do not catch up with you.|general_explain|HWU64|single_sen
didn't understand what you said now.|general_explain|HWU64|single_sen
tell me random joke|general_joke|HWU64|single_sen
find me a joke related to baseball|general_joke|HWU64|single_sen
i need to be cheered up right now can you tell me a good joke|general_joke|HWU64|single_sen
today's jokes|general_joke|HWU64|single_sen
do you have a joke|general_joke|HWU64|single_sen
what's your favorite joke|general_joke|HWU64|single_sen
look for a joke|general_joke|HWU64|single_sen
do you know what a joke is|general_joke|HWU64|single_sen
i want a nerd joke|general_joke|HWU64|single_sen
what about this joke|general_joke|HWU64|single_sen
have any jokes|general_joke|HWU64|single_sen
joke please|general_joke|HWU64|single_sen
thanks but i think you don't understand this correctly.|general_negate|HWU64|single_sen
sorry but i think you've got that not right.|general_negate|HWU64|single_sen
i didn't say it.|general_negate|HWU64|single_sen
shit, not right.|general_negate|HWU64|single_sen
i think it is not correct response.|general_negate|HWU64|single_sen
thanks but you have understood this wrongly.|general_negate|HWU64|single_sen
wait, i think that's not the right answer.|general_negate|HWU64|single_sen
that wasn't right.|general_negate|HWU64|single_sen
oops, you're not correct.|general_negate|HWU64|single_sen
wait, you did not interpret command right.|general_negate|HWU64|single_sen
you have done a wrong thing.|general_negate|HWU64|single_sen
wait, this is not the correct answer.|general_negate|HWU64|single_sen
thanks but i think you do not get me.|general_negate|HWU64|single_sen
no, this is not what i am looking for.|general_negate|HWU64|single_sen
uhh no, incorrect command.|general_negate|HWU64|single_sen
i think you don't get answer right.|general_negate|HWU64|single_sen
i think you did a task all wrong.|general_negate|HWU64|single_sen
uh no, you did not understand what i am searching for.|general_negate|HWU64|single_sen
i am sorry but i think it was not the correct answer.|general_negate|HWU64|single_sen
you are my hero, thank you very much, olly.|general_praise|HWU64|single_sen
you have done it correctly thanks, olly.|general_praise|HWU64|single_sen
ah that's nice one.|general_praise|HWU64|single_sen
you rock, thank you very much, olly.|general_praise|HWU64|single_sen
fantastic job, you did well.|general_praise|HWU64|single_sen
that's good, thanks.|general_praise|HWU64|single_sen
appreciate your answers, olly.|general_praise|HWU64|single_sen
you are my star, thank you so much, olly.|general_praise|HWU64|single_sen
that was cool, i appreciate it.|general_praise|HWU64|single_sen
fantastic job, you've done well, olly.|general_praise|HWU64|single_sen
great work, you did well, olly.|general_praise|HWU64|single_sen
that is cool, thanks, olly.|general_praise|HWU64|single_sen
thank you for the response, olly.|general_praise|HWU64|single_sen
you've done it right.|general_praise|HWU64|single_sen
well done, appreciated.|general_praise|HWU64|single_sen
excellent work, you have done well.|general_praise|HWU64|single_sen
awesome job, you did well.|general_praise|HWU64|single_sen
it's great one, thank you very much.|general_praise|HWU64|single_sen
it's helpful, appreciated.|general_praise|HWU64|single_sen
today i had a lunch with my longtime sweetheart play me a nice song to the mood|general_quirky|HWU64|single_sen
what's on tv|general_quirky|HWU64|single_sen
is the data prefers any problems in objects|general_quirky|HWU64|single_sen
your salary|general_quirky|HWU64|single_sen
overall day|general_quirky|HWU64|single_sen
anything i need to know|general_quirky|HWU64|single_sen
is mile marker sixty five where the hanging tree is located|general_quirky|HWU64|single_sen
tell me what happens when we die|general_quirky|HWU64|single_sen
what is your country|general_quirky|HWU64|single_sen
do i need to spare washing my car today|general_quirky|HWU64|single_sen
this brings some problems to us|general_quirky|HWU64|single_sen
can you explain me the problems when the syria becomes more stronger than america|general_quirky|HWU64|single_sen
you are chatbot|general_quirky|HWU64|single_sen
how high is the quality of this stone|general_quirky|HWU64|single_sen
can you please tell me who are you|general_quirky|HWU64|single_sen
where did he was yesterday|general_quirky|HWU64|single_sen
have you come across any new recipes|general_quirky|HWU64|single_sen
how did your day go|general_quirky|HWU64|single_sen
give me the product review from gamespot about the nintendo switch|general_quirky|HWU64|single_sen
let's start over please.|general_repeat|HWU64|single_sen
please say one more time again.|general_repeat|HWU64|single_sen
i would like to hear that information spoken again.|general_repeat|HWU64|single_sen
i would like to hear the last one spoken again.|general_repeat|HWU64|single_sen
i'd like to hear the last spoke again.|general_repeat|HWU64|single_sen
i need to hear what you've said again.|general_repeat|HWU64|single_sen
retry please.|general_repeat|HWU64|single_sen
will you try what i have just said one more time please.|general_repeat|HWU64|single_sen
would you tell me one more again please.|general_repeat|HWU64|single_sen
would you tell me once again.|general_repeat|HWU64|single_sen
could you tell me the last one you just said again please.|general_repeat|HWU64|single_sen
i want to hear that again.|general_repeat|HWU64|single_sen
i want to hear it again.|general_repeat|HWU64|single_sen
please could you tell me once more.|general_repeat|HWU64|single_sen
can you try again please.|general_repeat|HWU64|single_sen
say one more time again please.|general_repeat|HWU64|single_sen
will you speak once again please.|general_repeat|HWU64|single_sen
please say it once again.|general_repeat|HWU64|single_sen
please tell me it once more.|general_repeat|HWU64|single_sen
please activate my vacuum to clean the living room|iot_cleaning|HWU64|single_sen
can you wake the roomba for the kitchen|iot_cleaning|HWU64|single_sen
please have vacuum go for one hour|iot_cleaning|HWU64|single_sen
activate the vacuum|iot_cleaning|HWU64|single_sen
clean the sofa with the vacuum cleaner|iot_cleaning|HWU64|single_sen
have the vacuum cleaner clean the room|iot_cleaning|HWU64|single_sen
hurriedly activates my robot vacuum cleaner|iot_cleaning|HWU64|single_sen
begin vacuum|iot_cleaning|HWU64|single_sen
remove dust with vacuum cleaner|iot_cleaning|HWU64|single_sen
start vacuum bot|iot_cleaning|HWU64|single_sen
start my robot vacuum cleaner by ten to eleven am daily|iot_cleaning|HWU64|single_sen
activate vacuum cleaner|iot_cleaning|HWU64|single_sen
turn on the roomba|iot_cleaning|HWU64|single_sen
begin vacuum cleaning|iot_cleaning|HWU64|single_sen
please turn on my vacuum cleaner|iot_cleaning|HWU64|single_sen
how do you activate the robot vacuum cleaner|iot_cleaning|HWU64|single_sen
i would like some coffee now|iot_coffee|HWU64|single_sen
please make coffee at seven am|iot_coffee|HWU64|single_sen
make a cup of coffee|iot_coffee|HWU64|single_sen
start coffee at six am|iot_coffee|HWU64|single_sen
i want some coffee now|iot_coffee|HWU64|single_sen
get me some latte please|iot_coffee|HWU64|single_sen
prepare my morning coffee|iot_coffee|HWU64|single_sen
prepare some cups of coffee for us|iot_coffee|HWU64|single_sen
can you see to it that the coffee maker is ready with my filter coffee in approximately ten minutes from now|iot_coffee|HWU64|single_sen
i'd like a coffee now|iot_coffee|HWU64|single_sen
can you please turn on the coffee pot to make me coffee|iot_coffee|HWU64|single_sen
prepare coffee now|iot_coffee|HWU64|single_sen
can you get me a cup of coffee|iot_coffee|HWU64|single_sen
make a cup of coffee for me|iot_coffee|HWU64|single_sen
get a cup of coffee ready now|iot_coffee|HWU64|single_sen
coffee please|iot_coffee|HWU64|single_sen
make me a capuccino|iot_coffee|HWU64|single_sen
make me coffee at eight am|iot_coffee|HWU64|single_sen
put on a pot of coffee|iot_coffee|HWU64|single_sen
please make the lights natural|iot_hue_lightchange|HWU64|single_sen
lights to fifty percent|iot_hue_lightchange|HWU64|single_sen
can you change the light colors in the house|iot_hue_lightchange|HWU64|single_sen
turn the lights on party mode|iot_hue_lightchange|HWU64|single_sen
set the mood please|iot_hue_lightchange|HWU64|single_sen
change the light colors|iot_hue_lightchange|HWU64|single_sen
could you change the lights colour to green please|iot_hue_lightchange|HWU64|single_sen
make curser adjustable position|iot_hue_lightchange|HWU64|single_sen
change light color|iot_hue_lightchange|HWU64|single_sen
change the light color to blue|iot_hue_lightchange|HWU64|single_sen
alter the color of the lights at home|iot_hue_lightchange|HWU64|single_sen
change lights to blue|iot_hue_lightchange|HWU64|single_sen
can you change the living room lights to a softer color|iot_hue_lightchange|HWU64|single_sen
can you set the living room lights to pink|iot_hue_lightchange|HWU64|single_sen
change the color of the lights to blue|iot_hue_lightchange|HWU64|single_sen
let's have a warm glow in the front room|iot_hue_lightchange|HWU64|single_sen
switch lights to red tone|iot_hue_lightchange|HWU64|single_sen
change my light color to blue and please turn off the kitchen light|iot_hue_lightchange|HWU64|single_sen
all lights colour to blue please|iot_hue_lightchange|HWU64|single_sen
dim the lights at the living room|iot_hue_lightdim|HWU64|single_sen
lower the light intensity|iot_hue_lightdim|HWU64|single_sen
hi can you please turn lower the lights|iot_hue_lightdim|HWU64|single_sen
dim the lights please|iot_hue_lightdim|HWU64|single_sen
please turn down the lights|iot_hue_lightdim|HWU64|single_sen
lower the lights|iot_hue_lightdim|HWU64|single_sen
lower the lights in bedroom two|iot_hue_lightdim|HWU64|single_sen
i want the room to be less bright|iot_hue_lightdim|HWU64|single_sen
hey olly make the lights a little dimmer|iot_hue_lightdim|HWU64|single_sen
light is too much|iot_hue_lightdim|HWU64|single_sen
